timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/02 16:35:47.459, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:35:52.460, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 41 %
2026/06/02 16:35:57.460, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:36:02.461, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:36:07.461, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 42 %
2026/06/02 16:36:12.463, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:36:17.464, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 42 %
2026/06/02 16:36:22.464, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:36:27.465, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:36:32.465, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:36:37.466, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:36:42.466, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:36:47.467, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:36:52.468, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:36:57.468, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:37:02.469, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:37:07.469, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:37:12.470, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:37:17.470, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:37:22.470, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:37:27.471, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 42 %
2026/06/02 16:37:32.472, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 42 %
2026/06/02 16:37:37.472, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 42 %
2026/06/02 16:37:42.473, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 42 %
2026/06/02 16:37:47.473, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 42 %
2026/06/02 16:37:52.474, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:37:57.474, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 42 %
2026/06/02 16:38:02.474, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:38:07.475, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:38:12.475, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:38:17.476, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:38:22.476, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:38:27.477, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:38:32.477, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:38:37.478, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:38:42.478, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:38:47.479, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:38:52.479, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:38:57.480, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:39:02.480, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:39:07.480, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:39:12.481, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:39:17.481, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:39:22.482, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:39:27.483, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:39:32.483, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:39:37.484, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:39:42.484, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:39:47.485, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:39:52.485, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:39:57.486, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:40:02.487, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:40:07.487, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:40:12.488, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:40:17.488, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:40:22.489, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:40:27.489, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:40:32.490, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:40:37.490, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:40:42.491, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:40:47.491, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:40:52.492, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:40:57.493, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:41:02.493, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:41:07.494, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
